OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,OVERSIZED_DIAMETER,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,GlobalID,Shape__Length
77749,11270,ACTIVE,KIT 4,15090,46m 600mm  DI,UNTREATED,600,,DI,YES,1977/01/01 00:00:00+00,CEMENT,1977/01/01 00:00:00+00,PURCHASED,,REGION,N,,0,4,27,N,N,8.5,N,f7e46ffa-56bc-4859-a2cc-8599d0e7408b,45.9970390879303
77750,82562,ACTIVE,KIT 4,15090,44.7m 600mm  DI,UNTREATED,600,,DI,YES,1977/01/01 00:00:00+00,CEMENT,1977/01/01 00:00:00+00,PURCHASED,,REGION,N,,0,4,0,N,N,8.5,N,e8674695-5f65-4af8-a43c-ed7fc79289d3,44.7307726190183
77753,10080,ACTIVE,KIT 6,5457,34.2m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,0,N,N,8.5,N,99505da3-44b2-44dd-87e1-103c9a349579,34.2105629728948
77754,76299,ACTIVE,KIT 4,6390,.4m 300mm  DI,TREATED,300,,DI,NO,,NONE,1968/07/01 00:00:00+00,PURCHASED,,REGION,N,,7,1,4,N,N,8.5,N,f540e4eb-8f72-4244-bd7a-378df5c6ec40,0.355117671105161
77755,10110,ACTIVE,KIT 6,5393,67.9m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,7,6,0,N,N,6.1,N,5d2ab967-02e2-41c9-9720-0887ce4cb13a,67.852910448331
77756,82566,ACTIVE,KIT 6,5393,7m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,0,N,N,4.58,N,6d56ab32-fb78-4c42-ae39-de6b95167447,7.03932838683089
77757,82568,ACTIVE,KIT 6,5394,15m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,0,N,N,8.5,N,37ba75cb-4960-4a6f-b230-a3ff783584a0,14.956130761421
77758,10090,ACTIVE,KIT 6,5402,38.5m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,0,N,N,8.5,N,697b67a1-98df-407a-9d17-ed041bf30ce4,38.5268909037991
77759,82570,ACTIVE,KIT 6,5456,12.5m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,0,N,N,8.5,N,230933e7-2755-4769-b509-38b0dfd93e97,12.4519639246543
77760,10030,ACTIVE,KIT 6,21108,125m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,7,6,0,N,N,8.5,N,042c6917-512f-41c4-9790-53afc38aad23,124.970064901045
77761,10100,ACTIVE,KIT 6,5396,55.7m 450mm  DI,TREATED,450,,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,0,N,N,8.5,N,51836f9c-25aa-43b1-8f4f-e163bb91b9ab,55.671581169996
77762,81620,ACTIVE,KIT 2W,102861,63.9m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2015/01/06 00:00:00+00,PURCHASED,MTE CONSULTANTS INC.,KITCHENER,N,,0,5,46,N,N,9.35,N,d0490cc9-c807-493d-8d2f-2e7b7a0a48af,63.9485848398879
77764,60080,ACTIVE,KIT 4,12102,98.1m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,1997/09/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,18,N,N,9.35,N,c632ac9b-909c-46bf-944b-c4b1dbb697b9,98.0832805701851
77765,61904,ACTIVE,KIT 2W,22070,141.5m 300mm  DI,TREATED,300,,DI,NO,,NONE,1977/03/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,33,N,N,8.5,N,eafdc9ef-602a-4cc2-9f96-8e3bb1a3a42f,141.533052012408
77766,25690,ACTIVE,KIT 4,10351,42.7m 150mm  PVC,TREATED,150,,PVC,NO,,NONE,1976/11/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,15,N,N,9.35,N,6e7a7521-a51e-434b-aae1-71f790aa77e6,42.7365942209405
77767,82572,ACTIVE,KIT 4,10351,12.2m 150mm  PVC,TREATED,150,,PVC,NO,,NONE,1976/11/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,15,N,N,9.35,N,0d738692-628f-47f8-ba7a-bf83164eefb0,12.1917414998642
77768,74030,ACTIVE,KIT 6,600867,69.6m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2006/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,9.35,N,282ab6e7-463d-4bb5-a6be-28c456f1a8c2,69.5697443098412
77769,82574,ACTIVE,KIT 6,600867,8.4m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2006/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,9.35,N,d006359e-737a-41a7-b4b5-981cfe3c39ed,8.44509625213796
77770,82576,ACTIVE,KIT 5,601282,8.8m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2006/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,9.35,N,64cd8b3c-dd23-4da3-88f9-99a06af7b0ee,8.7890176020329
77771,82578,ACTIVE,KIT 5,601282,8.3m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2006/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,9.35,N,c2d03cdf-2e2a-4e38-a8b8-e575326eae14,8.32157024593635
77772,70850,ACTIVE,KIT 5,601282,176.7m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2006/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,6,0,N,N,9.35,N,a68cf4a1-742e-4d9d-8423-3ac460f1746b,176.655377255589
77773,82580,ACTIVE,KIT 4,6626,1.1m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2001/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,3,N,N,9.35,N,c1f893a4-ca49-4129-9c4a-db3abce64e3b,1.12320285347848
77776,82584,ACTIVE,KIT 2W,600356,21.3m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2003/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,35,N,N,9.35,N,72d6a89f-f7c3-4d47-a3ba-df16a96de465,21.3395426072407
77777,69550,ACTIVE,KIT 2W,600356,196.9m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2003/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,5,35,N,N,9.35,N,7c21d1dc-0835-4858-99d0-48741da9f057,196.859012719462
77778,82586,ACTIVE,KIT 4,9387,3.7m 150mm  DI,TREATED,150,,DI,NO,,NONE,1995/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,5,5,N,N,9.1,N,137f56ef-fe3c-44ef-bfc3-771dd6b3530c,3.7371340158361
77779,76806,ACTIVE,KIT 4,9387,5m 150mm  DI,TREATED,150,,DI,NO,,NONE,1995/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,12,N,N,9.1,N,473829e7-687e-47f1-b9b5-f7b8cd31bc91,4.99295177500279
77780,59320,ACTIVE,KIT 4,1730,92.7m 300mm  DI,TREATED,300,,DI,NO,,NONE,1996/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,25,N,N,9.1,N,15f65658-6832-43d3-82d8-3c5ea08b2a16,92.696164797707
77781,82588,ACTIVE,KIT 4,15908,7.6m 200mm  DI,TREATED,200,,DI,NO,,NONE,1966/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,14,N,N,8.5,N,6154de1f-43ad-4561-a1dd-72311574868e,7.6197389350217
77782,5610,ACTIVE,KIT 4,15908,91.2m 200mm  DI,TREATED,200,,DI,NO,,NONE,1966/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,14,N,N,4.7,N,a900c77b-77d2-4d35-9b74-ba572a53b196,91.2020221142905
77783,82590,ACTIVE,KIT 2EA,40224,18m 250mm  PVC,TREATED,250,,PVC,NO,,NONE,1998/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,5,27,N,N,9.35,N,d77657e1-6268-4834-8894-c711949ac67e,17.9611672229995
77784,61120,ACTIVE,KIT 2EA,40224,258.4m 250mm  PVC,TREATED,250,,PVC,NO,,NONE,1998/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,28,N,N,9.35,N,50c6e564-caa7-4dbe-9843-7e2f835dfc64,258.439482892856
77785,25470,ACTIVE,KIT 4,10370,156m 150mm  DI,TREATED,150,,DI,NO,,NONE,1981/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,5,4,15,N,N,8.5,N,79636fab-b890-4e0a-bf57-132720026d8b,156.021688028756
77786,82592,ACTIVE,KIT 2W,21951,8.5m 150mm  DI,TREATED,150,,DI,NO,,NONE,1980/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,0,N,N,8.5,N,13ba09f4-0849-4428-bd1b-156ea3a2d5fb,8.53445434017783
77787,82594,ACTIVE,KIT 2W,21951,.8m 150mm  DI,TREATED,150,,DI,NO,,NONE,1980/01/01 00:00:00+00,DONATED,,KITCHENER,N,,0,5,32,N,N,8.5,N,e61d3f2d-866d-49d0-98cb-4cb1a9e2d570,0.752106907436349
77788,18170,ACTIVE,KIT 2W,21951,150.4m 150mm  DI,TREATED,150,,DI,NO,,NONE,1980/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,32,N,N,8.5,N,49bd8f3a-f498-4bff-bee9-e7d667c8d471,150.420304491366
77789,82596,ACTIVE,KIT 5,9722,16.8m 300mm  DI,TREATED,300,,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,3,0,N,N,9.1,N,f8ecde14-adb9-4fa6-ba64-2719b35d2c33,16.7633207929942
77790,82598,ACTIVE,KIT 4,9722,14.3m 300mm  DI,TREATED,300,,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,3068e6d8-71bc-46f8-8bf6-e5d699b689e2,14.3355531084652
77791,55120,ACTIVE,KIT 4,9722,101.7m 300mm  DI,TREATED,300,,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,b68bed36-e2b3-4573-8eb2-d64ffd944127,101.748376333877
77792,82600,ACTIVE,KIT 4,9722,13.2m 300mm  DI,TREATED,300,,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,366e5694-336b-4bf5-8628-7d4e9b67e6a4,13.212334493422
77793,82602,ACTIVE,KIT 4,9722,91.4m 300mm  DI,TREATED,300,,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,919a5007-a372-457a-9ad6-e4c217ba5bab,91.4371570758878
77794,82604,ACTIVE,KIT 4,9722,6.6m 300mm  DI,TREATED,300,,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,0,3,13,N,N,9.1,N,15537eb3-1225-4d4a-8ded-f1989212b2a3,6.58077389995271
77795,82606,ACTIVE,KIT 4,600758,5.2m 200mm  DI,TREATED,200,,DI,NO,,NONE,1995/05/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,27,N,N,9.1,N,f0201242-11bb-47f8-82c8-be1d18e5b9c2,5.17758500471781
77796,57620,ACTIVE,KIT 4,600758,6.4m 200mm  DI,TREATED,200,,DI,NO,,NONE,1995/05/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,27,N,N,9.1,N,c88573a6-dd31-4fcb-ae52-b87eb725e123,6.42995044117653
77799,67370,ACTIVE,KIT 4,600402,71.6m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2001/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,5,17,N,N,9.35,N,93b580eb-c805-431c-82bf-2e9a7212b504,71.616813878608
77800,82610,ACTIVE,KIT 4,103013,18.9m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2001/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,17,N,N,9.35,N,827977e6-650f-4c0d-89a0-22c24282861c,18.8617180081409
77803,25740,ACTIVE,KIT 4,6315,198.6m 150mm  CI,TREATED,150,,CI,NO,,NONE,1951/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,10,N,N,4.95,N,94e46720-e691-45d1-bf5a-9a57c14e7776,198.637432559784
77805,82616,ACTIVE,KIT 2W,21792,7.2m 200mm  DI,TREATED,200,,DI,NO,,NONE,1977/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,30,N,N,8.5,N,618db605-8094-45bf-a447-fe2ec14e9d49,7.16337855464204
