OBJECTID,INCIDENT_DATE,BREAK_TYPE,HOUR_IMPACTED,STATUS,BREAK_NATURE,BREAK_APPARENT_CAUSE,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,DISINFECTED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,ROADSEGMENTID,STREET,ASSETID,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID,longitude,latitude,PRESSURE_ZONE,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,INSTALLATION_DATE,BRIDGE_MAIN,CRITICALITY,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
1,2017-12-01 15:15:00,MAIN,12-16 hours,REPAIR COMPLETED,CORROSION AND FITTING/JOINT,AGE,N,N,Y,N,N,Y,Y,CATEGORY 2,6961,LANCASTER ST W,134292,450.0,1937-01-01,CI,Y,3521d297-1a2e-4e7b-a071-fc53ed87e965,-80.4840046087279,43.4629392047685,KIT 4,138.2m 150mm  CI,TREATED,150.0,CI,NO,NONE,1923-01-01 00:00:00,N,6.0,N,N,3.85,N,N,7032c165-215f-4cf6-ae35-65c9320aab4e,138.194598602295
1,2017-12-01 15:15:00,MAIN,12-16 hours,REPAIR COMPLETED,CORROSION AND FITTING/JOINT,AGE,N,N,Y,N,N,Y,Y,CATEGORY 2,6961,LANCASTER ST W,134292,450.0,1937-01-01,CI,Y,3521d297-1a2e-4e7b-a071-fc53ed87e965,-80.4840046087279,43.4629392047685,KIT 4,4.7m 25mm  PVC,TREATED,25.0,PVC,NO,NONE,2017-01-11 00:00:00,N,-1.0,N,N,9.85,N,N,791c47f5-9a9a-48b1-94bb-cad82bec682c,4.72126348883583
1,2017-12-01 15:15:00,MAIN,12-16 hours,REPAIR COMPLETED,CORROSION AND FITTING/JOINT,AGE,N,N,Y,N,N,Y,Y,CATEGORY 2,6961,LANCASTER ST W,134292,450.0,1937-01-01,CI,Y,3521d297-1a2e-4e7b-a071-fc53ed87e965,-80.4840046087279,43.4629392047685,KIT 4,1.4m 25mm  PVC,TREATED,25.0,PVC,NO,NONE,2017-01-11 00:00:00,N,-1.0,N,N,9.85,N,N,fbc17d4d-3636-4b58-823b-54b3cbc77470,1.39999303230565
1,2017-12-01 15:15:00,MAIN,12-16 hours,REPAIR COMPLETED,CORROSION AND FITTING/JOINT,AGE,N,N,Y,N,N,Y,Y,CATEGORY 2,6961,LANCASTER ST W,134292,450.0,1937-01-01,CI,Y,3521d297-1a2e-4e7b-a071-fc53ed87e965,-80.4840046087279,43.4629392047685,KIT 4,1.6m 450mm  PVC,TREATED,450.0,PVC,NO,NONE,2017-01-11 00:00:00,N,-1.0,N,N,5.93,N,N,e67cbabe-4883-4c85-854b-f0367fff4f1a,1.57926782786407
7874,2001-03-26 00:00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,6116,CLOVERDALE CRES,4101323,13.0,1965-01-01,XXX,Y,72445d62-16a8-43c1-9733-56b06015b077,-80.5150745372266,43.422742260155,KIT 5,12.8m 150mm  CI,TREATED,150.0,CI,NO,NONE,1965-01-01 00:00:00,N,5.0,N,N,7.85,N,Y,c99abdb4-c3cc-409d-be83-5b42e4029bc9,12.7985980549726
7874,2001-03-26 00:00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,6116,CLOVERDALE CRES,4101323,13.0,1965-01-01,XXX,Y,72445d62-16a8-43c1-9733-56b06015b077,-80.5150745372266,43.422742260155,KIT 5,12.4m 150mm  CI,TREATED,150.0,CI,NO,NONE,1965-01-01 00:00:00,N,5.0,N,N,7.85,N,Y,a7099210-bba1-4f73-b8ab-fac9c694d82c,12.4002945708114
7874,2001-03-26 00:00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,6116,CLOVERDALE CRES,4101323,13.0,1965-01-01,XXX,Y,72445d62-16a8-43c1-9733-56b06015b077,-80.5150745372266,43.422742260155,KIT 5,168.3m 150mm  CI,TREATED,150.0,CI,NO,NONE,1965-01-01 00:00:00,N,5.0,N,N,4.25,N,Y,b383993a-a0cf-43e5-9cf8-b82b836d25e2,168.28053597208
7874,2001-03-26 00:00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,6116,CLOVERDALE CRES,4101323,13.0,1965-01-01,XXX,Y,72445d62-16a8-43c1-9733-56b06015b077,-80.5150745372266,43.422742260155,KIT 5,212.4m 150mm  CI,TREATED,150.0,CI,NO,NONE,1965-01-01 00:00:00,N,5.0,N,N,7.45,N,Y,bf67a5b5-e409-42e9-8a07-72654bb97541,212.37109576941
7875,2006-09-06 00:00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,13207,WREN CRES,4099987,25.0,1967-01-01,XXX,Y,3bdc8931-31c0-4090-a07a-a6847781dd97,-80.4398113524205,43.4450669899484,KIT 4,12.4m 150mm  DI,TREATED,150.0,DI,NO,NONE,1966-01-01 00:00:00,N,6.0,N,N,8.5,N,N,4db26b0f-c75c-4ce9-bff5-eac7fa54f031,12.4248150726914
7875,2006-09-06 00:00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,13207,WREN CRES,4099987,25.0,1967-01-01,XXX,Y,3bdc8931-31c0-4090-a07a-a6847781dd97,-80.4398113524205,43.4450669899484,KIT 4,198.9m 150mm  DI,TREATED,150.0,DI,NO,NONE,1966-01-01 00:00:00,N,6.0,N,N,8.5,N,N,d054dca1-ffd1-4214-bc42-a302081efae7,198.850357915993
