LONGITUDE,LATITUDE,OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,HOUR_IMPACTED,STATUS,BREAK_NATURE,BREAK_APPARENT_CAUSE,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,ROADSEGMENTID,STREET,ASSETID,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
-80.4840046087279,43.4629392047685,1,2252,2017-12-01 15:15:00+00:00,MAIN,12-16 hours,REPAIR COMPLETED,CORROSION AND FITTING/JOINT,AGE,N,N,N,N,Y,Y,CATEGORY 2,6961,LANCASTER ST W,134292,450.0,1937.0,CI,Y,3521d297-1a2e-4e7b-a071-fc53ed87e965
-80.5150745372266,43.422742260155,7874,1311,2001-03-26 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,6116,CLOVERDALE CRES,4101323,13.0,1965.0,XXX,Y,72445d62-16a8-43c1-9733-56b06015b077
-80.4398113524205,43.4450669899484,7875,1325,2006-09-06 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,13207,WREN CRES,4099987,25.0,1967.0,XXX,Y,3bdc8931-31c0-4090-a07a-a6847781dd97
-80.5108594854899,43.4264778731841,7876,1328,2006-09-11 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,6498,GREENBROOK DR,4642530,25.0,1964.0,PVC,Y,f75ad0b1-5b2a-4125-8ad5-2b9a037debd7
-80.4575201771382,43.443200798184,7877,1308,2000-01-27 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,22846,MONTGOMERY RD,4100648,25.0,1967.0,XXX,Y,5a3c5d03-0899-4899-95e7-278bc5cbb682
-80.5297661860309,43.4249884672488,7878,1312,1998-08-11 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,5421,WESTHEIGHTS DR,4104575,25.0,1974.0,XXX,Y,0c575f03-7d3f-44ea-b691-d33a969c4428
-80.4191162801847,43.4260876927455,7879,1321,2006-05-23 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,22124,RIVER RD E,4138965,150.0,1976.0,XXX,Y,e82585b3-df56-4d38-8038-536ef084072b
-80.5238577689139,43.398741069923,7880,1326,2006-10-30 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,602405,BLEAMS RD,4659302,25.0,2012.0,PVC,N,b8f9e9df-09e7-4013-9acc-0e43065d18df
-80.4398006731111,43.4257653486271,7882,1324,2006-06-26 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,10973,KINGSWAY DR,4095182,150.0,1975.0,XXX,Y,04df3fcf-e2a1-448a-93dc-0818ba726403
-80.4536842508755,43.4191901335025,7884,1310,2005-06-23 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,10703,MANITOU DR,4096271,50.0,1976.0,XXX,Y,50e20f5e-72d2-4c0f-aa80-7d3c65322f28
-80.4644312319719,43.4515156668284,7885,1309,2000-12-30 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,9926,DONALD ST,4096468,13.0,1976.0,XXX,Y,00a4e0cd-e893-4d28-b324-f40b69f66fa8
-80.5143137768771,43.452619290513,7886,1407,2009-10-27 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,1249,GLASGOW ST,4736474,300.0,2017.0,PVC,N,9b14718d-36b0-4db7-838b-8fbc71796e07
-80.4663307506828,43.4785680202244,7887,1319,2006-12-04 00:00:00+00:00,SERVICE,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,10476,SCHUELLER ST,4127031,25.0,2003.0,XXX,Y,0eaeb433-06db-450d-b658-2517e59862a1
