longitude,latitude,incident_date,break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_year_installed,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,connections,failure_rate
-80.4840046087279,43.4629392047685,2017-12-01,0,1,0,1,450.0,1937-01-01,1,1,80.0,0,0,0,0,1,1,1,3,0.01
-80.5150745372266,43.422742260155,2001-03-26,1,4,4,0,13.0,1965-01-01,8,1,36.0,1,1,1,1,1,1,1,7,0.03
-80.4398113524205,43.4450669899484,2006-09-06,1,4,4,0,25.0,1967-01-01,8,1,39.0,1,1,1,1,1,1,1,1,0.03
-80.5108594854899,43.4264778731841,2006-09-11,1,4,4,0,25.0,1964-01-01,6,1,42.0,1,1,1,1,1,1,1,3,0.02
-80.4575201771382,43.443200798184,2000-01-27,1,4,4,0,25.0,1967-01-01,8,1,33.0,1,1,1,1,1,1,1,1,0.03
-80.5297661860309,43.4249884672488,1998-08-11,1,4,4,0,25.0,1974-01-01,8,1,24.0,1,1,1,1,1,1,1,6,0.04
-80.4191162801847,43.4260876927455,2006-05-23,1,4,4,0,150.0,1976-01-01,8,1,30.0,1,1,1,1,1,1,1,2,0.03
-80.4398006731111,43.4257653486271,2006-06-26,1,4,4,0,150.0,1975-01-01,8,1,31.0,1,1,1,1,1,1,1,3,0.03
-80.4536842508755,43.4191901335025,2005-06-23,1,4,4,0,50.0,1976-01-01,8,1,29.0,1,1,1,1,1,1,1,1,0.03
-80.4644312319719,43.4515156668284,2000-12-30,1,4,4,0,13.0,1976-01-01,8,1,24.0,1,1,1,1,1,1,1,4,0.04
-80.4663307506828,43.4785680202244,2006-12-04,1,4,4,0,25.0,2003-01-01,8,1,3.0,1,1,1,1,1,1,1,3,0.33
-80.4421079441422,43.4210476654873,2006-05-06,1,4,4,0,50.0,1990-01-01,8,1,16.0,1,1,1,1,1,1,1,1,0.06
-80.489615968996,43.4499969504534,2010-08-04,1,1,1,0,150.0,2002-01-01,6,1,8.0,1,1,1,1,1,1,1,2,0.12
-80.4564025584982,43.3900078783332,1999-12-28,1,4,4,0,25.0,1987-01-01,8,1,12.0,1,1,1,1,1,1,1,1,0.08
