break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,failure_rate
0,1,0,1,450.0,1,1,80,0,0,0,0,1,1,1,0.0125
1,4,4,0,13.0,8,1,36,1,1,1,1,1,1,1,0.0278
1,4,4,0,25.0,8,1,39,1,1,1,1,1,1,1,0.0256
1,4,4,0,25.0,6,1,42,1,1,1,1,1,1,1,0.0238
1,4,4,0,25.0,8,1,33,1,1,1,1,1,1,1,0.0303
1,4,4,0,25.0,8,1,24,1,1,1,1,1,1,1,0.0417
1,4,4,0,150.0,8,1,30,1,1,1,1,1,1,1,0.0333
1,4,4,0,150.0,8,1,31,1,1,1,1,1,1,1,0.0323
1,4,4,0,50.0,8,1,29,1,1,1,1,1,1,1,0.0345
1,4,4,0,13.0,8,1,24,1,1,1,1,1,1,1,0.0417
1,4,4,0,25.0,8,1,3,1,1,1,1,1,1,1,0.3333
1,4,4,0,50.0,8,1,16,1,1,1,1,1,1,1,0.0625
1,1,1,0,150.0,6,1,8,1,1,1,1,1,1,1,0.125
1,4,4,0,25.0,8,1,12,1,1,1,1,1,1,1,0.0833
0,4,4,0,200.0,4,1,33,1,1,1,1,1,1,1,0.0303
0,4,4,0,150.0,1,9,63,1,1,1,1,1,1,1,0.1429
0,4,4,0,150.0,1,6,32,1,1,1,1,1,1,1,0.1875
0,4,4,0,300.0,1,4,43,1,1,1,1,1,1,1,0.093
0,4,4,0,300.0,1,1,45,1,1,1,1,1,1,1,0.0222
0,4,4,0,150.0,1,11,45,1,1,1,1,1,1,1,0.2444
0,4,4,0,100.0,1,1,41,1,1,1,1,1,1,1,0.0244
0,4,4,0,300.0,4,2,30,1,1,1,1,1,1,1,0.0667
0,4,4,0,300.0,4,1,33,1,1,1,1,1,1,1,0.0303
0,4,4,0,150.0,1,3,46,1,1,1,1,1,1,1,0.0652
0,4,4,0,150.0,1,3,32,1,1,1,1,1,1,1,0.0938
0,4,4,0,150.0,1,5,30,1,1,1,1,1,1,1,0.1667
0,4,4,0,150.0,1,1,56,1,1,1,1,1,1,1,0.0179
0,4,4,0,150.0,1,3,43,1,1,1,1,1,1,1,0.0698
0,4,4,0,150.0,1,5,34,1,1,1,1,1,1,1,0.1471
0,4,4,0,150.0,4,1,27,1,1,1,1,1,1,1,0.037
0,0,1,0,150.0,1,1,64,1,1,1,1,1,1,1,0.0156
0,0,0,0,150.0,1,4,55,1,1,1,1,1,1,1,0.0727
0,1,0,0,150.0,4,4,47,1,1,1,1,1,1,1,0.0851
0,0,0,0,150.0,1,4,59,1,1,1,1,1,1,1,0.0678
0,0,1,0,150.0,1,2,59,1,1,1,1,1,1,1,0.0339
0,0,1,0,150.0,1,2,54,1,1,1,1,1,1,1,0.037
0,0,0,0,150.0,1,5,47,1,1,1,1,1,1,1,0.1064
0,2,2,0,150.0,1,7,46,1,1,1,1,1,1,1,0.1522
0,0,0,0,150.0,1,3,55,1,1,1,1,1,1,1,0.0545
0,0,6,0,150.0,4,3,51,1,1,1,1,1,1,1,0.0588
0,0,4,0,150.0,1,1,62,1,1,1,1,1,1,1,0.0161
0,0,4,0,300.0,1,2,84,1,1,1,1,1,1,1,0.0238
0,0,0,0,150.0,1,4,56,1,1,1,1,1,1,1,0.0714
0,0,2,0,150.0,1,4,53,1,1,1,1,1,1,1,0.0755
0,0,0,0,150.0,1,4,53,1,1,1,1,1,1,1,0.0755
0,0,0,0,150.0,1,4,66,1,1,1,1,1,1,1,0.0606
0,0,0,0,150.0,1,2,47,1,1,1,1,1,1,1,0.0426
0,1,2,0,150.0,1,2,47,1,1,1,1,1,1,1,0.0426
0,0,1,0,150.0,1,1,49,1,1,1,1,1,1,1,0.0204
0,0,0,0,150.0,1,6,54,1,1,1,1,1,1,1,0.1111
0,0,1,0,150.0,1,1,66,1,1,1,1,1,1,1,0.0152
0,2,2,0,300.0,4,2,25,1,1,1,1,1,0,1,0.08
0,0,0,0,150.0,1,6,49,1,1,1,1,1,1,1,0.1224
0,0,2,0,300.0,4,2,25,1,1,1,1,1,1,1,0.08
0,0,1,0,150.0,1,7,46,1,1,1,1,1,1,1,0.1522
0,4,4,0,300.0,1,1,47,1,1,1,1,1,1,1,0.0213
0,4,4,0,150.0,1,12,53,1,1,1,1,1,1,1,0.2264
0,4,4,0,300.0,4,3,38,1,1,1,1,1,1,1,0.0789
0,4,4,0,150.0,1,4,51,1,1,1,1,1,1,1,0.0784
0,4,4,0,150.0,1,3,47,1,1,1,1,1,1,1,0.0638
0,4,4,0,150.0,1,7,35,1,1,1,1,1,1,1,0.2
0,4,4,0,100.0,4,1,43,1,1,1,1,1,1,1,0.0233
0,4,4,0,150.0,1,5,36,1,1,1,1,1,1,1,0.1389
0,4,4,0,150.0,1,9,59,1,1,1,1,1,1,1,0.1525
0,4,4,0,150.0,1,4,32,1,1,1,1,1,1,1,0.125
0,4,4,0,150.0,1,1,42,1,1,1,1,1,1,1,0.0238
0,4,4,0,150.0,4,1,35,1,1,1,1,1,1,1,0.0286
0,4,4,0,150.0,1,3,43,1,1,1,1,1,1,1,0.0698
0,4,4,0,600.0,3,1,40,1,1,1,1,1,1,1,0.025
0,4,4,0,150.0,4,2,29,1,1,1,1,1,1,1,0.069
0,4,4,0,100.0,4,3,32,1,1,1,1,1,1,1,0.0938
0,4,4,0,200.0,1,2,45,1,1,1,1,1,1,1,0.0444
0,4,4,0,150.0,1,3,40,1,1,1,1,1,1,1,0.075
0,4,4,0,150.0,4,2,33,1,1,1,1,1,1,1,0.0606
0,4,4,0,150.0,4,1,35,1,1,1,1,1,1,1,0.0286
0,4,4,0,150.0,4,2,37,1,1,1,1,1,1,1,0.0541
0,4,4,0,150.0,1,2,39,1,1,1,1,1,1,1,0.0513
0,4,4,0,150.0,1,1,42,1,1,1,1,1,1,1,0.0238
0,4,4,0,450.0,1,1,48,1,1,1,1,1,1,1,0.0208
0,4,4,0,300.0,4,3,33,1,1,1,1,1,1,1,0.0909
0,4,4,0,150.0,1,2,42,1,1,1,1,1,1,1,0.0476
0,4,4,0,150.0,4,3,40,1,1,1,1,1,1,1,0.075
0,4,4,0,150.0,1,2,51,1,1,1,1,1,1,1,0.0392
0,4,4,0,150.0,1,1,55,1,1,1,1,1,1,1,0.0182
0,4,4,0,150.0,1,4,40,1,1,1,1,1,1,1,0.1
0,4,4,0,150.0,1,4,41,1,1,1,1,1,1,1,0.0976
0,4,4,0,150.0,1,4,40,1,1,1,1,1,1,1,0.1
0,4,4,0,150.0,4,4,34,1,1,1,1,1,1,1,0.1176
0,4,4,0,200.0,4,2,26,1,1,1,1,1,1,1,0.0769
0,4,4,0,200.0,1,2,55,1,1,1,1,1,1,1,0.0364
0,4,4,0,150.0,1,4,70,1,1,1,1,1,1,1,0.0571
0,0,1,0,200.0,4,1,21,1,1,1,1,1,1,1,0.0476
0,0,5,0,150.0,1,5,56,1,1,1,1,1,1,1,0.0893
0,0,6,0,150.0,1,1,93,1,1,1,1,1,1,1,0.0108
0,0,1,0,150.0,1,4,55,1,1,1,1,1,1,1,0.0727
0,0,1,0,150.0,1,3,53,1,1,1,1,1,1,1,0.0566
0,0,1,0,150.0,1,7,47,1,1,1,1,1,1,1,0.1489
0,0,1,0,300.0,1,1,54,1,1,1,1,1,1,1,0.0185
0,0,1,0,150.0,1,6,47,1,1,1,1,1,1,1,0.1277
0,0,1,0,200.0,4,6,47,1,1,1,1,1,1,1,0.1277
0,0,1,0,150.0,1,4,54,1,1,1,1,1,1,1,0.0741
0,0,1,0,150.0,4,4,51,1,1,1,1,1,1,1,0.0784
0,0,4,0,150.0,1,1,58,1,1,1,1,1,1,1,0.0172
0,1,1,0,150.0,4,1,44,1,1,1,1,1,1,1,0.0227
0,0,2,0,150.0,1,4,47,1,1,1,1,1,1,1,0.0851
0,4,4,0,450.0,6,1,5,1,1,1,1,1,1,1,0.2
0,4,4,0,200.0,4,4,25,1,1,1,1,1,1,1,0.16
0,4,4,0,150.0,1,7,45,1,1,1,1,1,1,1,0.1556
0,4,4,0,200.0,1,6,40,1,1,1,1,1,1,1,0.15
0,4,4,0,150.0,6,9,28,1,1,1,1,1,1,1,0.3214
0,4,4,0,150.0,1,10,38,1,1,1,1,1,1,1,0.2632
0,4,4,0,150.0,1,4,39,1,1,1,1,1,1,1,0.1026
0,4,4,0,300.0,1,2,67,1,1,1,1,1,1,1,0.0299
0,4,4,0,450.0,1,6,65,1,1,1,1,1,1,1,0.0923
0,4,4,0,300.0,1,4,63,1,1,1,1,1,1,1,0.0635
0,4,4,0,450.0,1,2,44,1,1,1,1,1,1,1,0.0455
0,4,4,0,150.0,1,5,36,1,1,1,1,1,1,1,0.1389
0,4,4,0,150.0,1,1,35,1,1,1,1,1,1,1,0.0286
0,4,4,0,300.0,1,4,49,1,1,1,1,1,1,1,0.0816
0,4,4,0,150.0,1,1,54,1,1,1,1,1,1,1,0.0185
0,4,4,0,300.0,4,1,29,1,1,1,1,1,1,1,0.0345
0,4,4,0,200.0,4,1,39,1,1,1,1,1,1,1,0.0256
0,1,4,0,150.0,1,4,40,1,1,1,1,1,1,1,0.1
0,0,1,0,150.0,1,6,43,1,1,1,1,1,1,1,0.1395
0,0,6,0,150.0,1,7,48,1,1,1,1,1,1,1,0.1458
0,4,4,0,150.0,1,3,54,1,1,1,1,1,1,1,0.0556
0,0,0,0,150.0,1,5,48,1,1,1,1,1,1,1,0.1042
0,2,1,0,300.0,1,2,72,1,1,1,1,1,1,1,0.0278
0,1,1,0,150.0,4,2,36,1,1,1,1,1,1,1,0.0556
0,0,1,0,150.0,1,6,45,1,1,1,1,1,1,1,0.1333
0,0,0,0,150.0,1,3,44,1,1,1,1,1,1,1,0.0682
0,4,4,0,200.0,4,1,38,1,1,1,1,1,1,1,0.0263
0,0,0,0,150.0,4,2,44,1,1,1,1,1,1,1,0.0455
0,0,0,0,150.0,1,2,46,1,1,1,1,1,1,1,0.0435
0,2,3,0,300.0,5,1,8,1,1,1,1,1,1,1,0.125
0,0,2,0,150.0,1,12,51,1,1,1,1,1,1,1,0.2353
0,1,1,0,200.0,4,3,42,1,1,1,1,1,1,1,0.0714
0,0,0,0,150.0,1,6,51,1,1,1,1,1,1,1,0.1176
0,1,2,0,300.0,4,1,32,1,1,1,1,1,1,1,0.0312
0,1,0,0,150.0,4,1,45,1,1,1,1,1,1,1,0.0222
0,0,0,0,150.0,1,10,49,1,1,1,1,1,1,1,0.2041
0,4,4,0,200.0,4,2,41,1,1,1,1,1,1,1,0.0488
0,4,4,0,150.0,1,1,46,1,1,1,1,1,1,1,0.0217
0,4,4,0,150.0,1,4,40,1,1,1,1,1,1,1,0.1
0,4,4,0,150.0,1,3,36,1,1,1,1,1,1,1,0.0833
0,4,4,0,200.0,1,1,50,1,1,1,1,1,1,1,0.02
0,4,4,0,150.0,1,9,43,1,1,1,1,1,1,1,0.2093
0,4,4,0,150.0,1,2,40,1,1,1,1,1,1,1,0.05
0,4,4,0,150.0,1,9,45,1,1,1,1,1,1,1,0.2
0,4,2,0,150.0,1,2,57,1,1,1,1,1,1,1,0.0351
0,4,4,0,300.0,4,5,41,1,1,1,1,1,1,1,0.122
0,4,4,0,150.0,1,5,46,1,1,1,1,1,1,1,0.1087
0,4,4,0,150.0,1,1,46,1,1,1,1,1,1,1,0.0217
0,4,4,0,200.0,1,3,43,1,1,1,1,1,1,1,0.0698
0,4,4,0,300.0,4,1,19,1,1,1,1,1,1,1,0.0526
0,4,4,0,150.0,1,2,39,1,1,1,1,1,1,1,0.0513
0,4,4,0,150.0,1,7,33,1,1,1,1,1,1,1,0.2121
0,4,4,0,150.0,4,2,27,1,1,1,1,1,1,1,0.0741
0,4,4,0,150.0,1,2,48,1,1,1,1,1,1,1,0.0417
0,4,4,0,200.0,1,1,52,1,1,1,1,1,1,1,0.0192
0,4,4,0,150.0,4,6,34,1,1,1,1,1,1,1,0.1765
0,4,4,0,150.0,1,5,44,1,1,1,1,1,1,1,0.1136
0,4,4,0,150.0,1,6,42,1,1,1,1,1,1,1,0.1429
0,4,4,0,150.0,4,2,26,1,1,1,1,1,1,1,0.0769
0,4,4,0,150.0,1,5,54,1,1,1,1,1,1,1,0.0926
0,4,4,0,300.0,4,3,31,1,1,1,1,1,1,1,0.0968
0,4,4,0,200.0,1,2,39,1,1,1,1,1,1,1,0.0513
0,4,4,0,300.0,4,3,34,1,1,1,1,1,1,1,0.0882
0,4,4,0,150.0,1,4,36,1,1,1,1,1,1,1,0.1111
0,4,4,0,150.0,6,9,30,1,1,1,1,1,1,1,0.3
0,4,4,0,150.0,1,9,40,1,1,1,1,1,1,1,0.225
0,4,4,0,150.0,1,3,42,1,1,1,1,1,1,1,0.0714
0,4,4,0,150.0,1,1,32,1,1,1,1,1,1,1,0.0312
0,4,4,0,150.0,4,3,41,1,1,1,1,1,1,1,0.0732
0,4,4,0,150.0,4,2,23,1,1,1,1,1,1,1,0.087
0,4,4,0,150.0,1,5,58,1,1,1,1,1,1,1,0.0862
0,4,4,0,150.0,1,1,39,1,1,1,1,1,1,1,0.0256
0,4,4,0,150.0,1,4,51,1,1,1,1,1,1,1,0.0784
0,4,4,0,200.0,4,1,30,1,1,1,1,1,1,1,0.0333
0,4,4,0,200.0,4,6,36,1,1,1,1,1,1,1,0.1667
0,4,4,0,200.0,1,2,39,1,1,1,1,1,1,1,0.0513
0,4,4,0,150.0,4,2,20,1,1,1,1,1,1,1,0.1
0,4,4,0,150.0,1,2,27,1,1,1,1,1,1,1,0.0741
0,4,4,0,150.0,4,2,32,1,1,1,1,1,1,1,0.0625
0,4,4,0,150.0,1,7,33,1,1,1,1,1,1,1,0.2121
0,4,4,0,200.0,1,3,35,1,1,1,1,1,1,1,0.0857
0,1,0,0,100.0,1,1,58,1,1,1,1,1,1,1,0.0172
0,4,4,0,150.0,1,7,49,1,1,1,1,1,1,1,0.1429
0,0,0,0,150.0,1,4,33,1,1,1,1,1,1,1,0.1212
0,0,4,0,200.0,1,2,53,1,1,1,1,1,1,1,0.0377
0,0,1,0,150.0,1,5,48,1,1,1,1,1,1,1,0.1042
0,0,0,0,150.0,1,2,47,1,1,1,1,1,1,1,0.0426
0,1,4,0,300.0,4,3,45,1,1,1,1,1,1,1,0.0667
0,0,4,0,300.0,4,1,39,1,1,1,1,1,1,1,0.0256
0,0,1,0,150.0,1,5,55,1,1,1,1,1,1,1,0.0909
0,0,4,0,150.0,1,3,49,1,1,1,1,1,1,1,0.0612
0,1,6,0,200.0,4,2,33,1,1,1,1,1,1,1,0.0606
0,1,6,0,300.0,4,1,38,1,1,1,1,1,0,1,0.0263
0,0,1,0,450.0,4,1,34,1,1,1,1,1,1,1,0.0294
0,0,6,0,200.0,1,7,51,1,1,1,1,1,1,1,0.1373
0,1,1,0,450.0,4,1,34,1,1,1,1,1,1,1,0.0294
0,0,2,0,150.0,1,3,50,1,1,1,1,1,1,1,0.06
0,0,6,0,150.0,4,1,47,1,1,1,1,1,1,1,0.0213
0,0,1,0,150.0,4,1,47,1,1,1,1,1,1,1,0.0213
0,0,1,0,150.0,1,4,46,1,1,1,1,1,1,1,0.087
0,0,1,0,150.0,1,3,53,1,1,1,1,1,1,1,0.0566
