OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,ROAD_CLOSED,SIDEWALK_CLOSED,HOUR_IMPACTED,UNITS_IMPACTED,CW_SERVICE_REQUEST,STATUS,STATUS_DATE,WORKORDER,RETURN_TO_NORMAL,BREAK_NATURE,BREAK_APPARENT_CAUSE,REPAIR_TYPE,NEW_SECTION_LENGTH,MAINTENANCE_DESC,VALVES_CLOSED,VALVES_OPENED,HYDRANTS_CALLED_OUT,HYDRANTS_CALLED_BACK_IN,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,DISINFECTED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,BACTERIA_TESTING_DATE,HEALTH_DEPT_NOTIFICATION,MOECC_SAC_NOTIFICATION,SAC_REFERENCE_NO,LOCAL_MOE_OFFICE,BWA_DWA,BWA_DWA_DECLARED,PROCEEDURES_FOLLOWED,RECORD_CHANGE_REQD,ROADSEGMENTID,CIVIC_NUMBER,STREET,ASSETID,ASSET_DEPTH,FROST_DEPTH,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
1,2252,1512141300000,MAIN,Partially Closed,Open,12-16 hours,47,123456.0,REPAIR COMPLETED,1512172800000,177898.0,1485905400000.0,CORROSION AND FITTING/JOINT,AGE,CUTOUT,2.0,N/A,"6"" 93563, 94817, 93902,1139; 18""- 1264, 92862,1142",,353,353,N,N,Y,N,N,Y,Y,CATEGORY 2,1485907200000.0,,,,,N,,Y,Y,6961,125,LANCASTER ST W,134292,1.6,0.3,450.0,1937,CI,Y,3521d297-1a2e-4e7b-a071-fc53ed87e965
7874,1311,985564800000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,6116,76,CLOVERDALE CRES,4101323,,,13.0,1965,XXX,Y,72445d62-16a8-43c1-9733-56b06015b077
7875,1325,1157500800000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,162230.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,13207,47,WREN CRES,4099987,,,25.0,1967,XXX,Y,3bdc8931-31c0-4090-a07a-a6847781dd97
7876,1328,1157932800000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,6498,382,GREENBROOK DR,4642530,,,25.0,1964,PVC,Y,f75ad0b1-5b2a-4125-8ad5-2b9a037debd7
7877,1308,948931200000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,22846,224,MONTGOMERY RD,4100648,,,25.0,1967,XXX,Y,5a3c5d03-0899-4899-95e7-278bc5cbb682
7878,1312,902793600000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,5421,152,WESTHEIGHTS DR,4104575,,,25.0,1974,XXX,Y,0c575f03-7d3f-44ea-b691-d33a969c4428
7879,1321,1148342400000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,22124,,RIVER RD E,4138965,,,150.0,1976,XXX,Y,e82585b3-df56-4d38-8038-536ef084072b
7880,1326,1162166400000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,602405,,BLEAMS RD,4659302,,,25.0,2012,PVC,N,b8f9e9df-09e7-4013-9acc-0e43065d18df
7881,2047,1426118400000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1429056000000,126895.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,11399,251,MILL ST,4101475,,,,,,N,536f67ed-4ec6-470e-b0d2-7e916e639d6a
7882,1324,1151280000000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10973,2969,KINGSWAY DR,4095182,,,150.0,1975,XXX,Y,04df3fcf-e2a1-448a-93dc-0818ba726403
7883,1718,1325808000000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1362614400000,59252.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,6743,29,DUKE ST E,4087857,,,0.0,,XXX,N,ba670836-f7c2-4f8a-88da-c0e9fef0748c
7884,1310,1119484800000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10703,10,MANITOU DR,4096271,,,50.0,1976,XXX,Y,50e20f5e-72d2-4c0f-aa80-7d3c65322f28
7885,1309,978134400000,SERVICE,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,9926,24,DONALD ST,4096468,,,13.0,1976,XXX,Y,00a4e0cd-e893-4d28-b324-f40b69f66fa8
