OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
77753,10080,ACTIVE,KIT 6,5457,34.2m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,N,98867ae0-f712-4255-b975-a727fbeccb1f,34.2105629728948
77754,76299,ACTIVE,KIT 4,6390,.4m 300mm  DI,TREATED,300,DI,NO,,NONE,-47433600000.0,PURCHASED,,REGION,N,,7,1,4,N,N,8.5,N,N,746c9497-9985-4d58-b1a1-1556b981bbb9,0.355117671105161
77755,10110,ACTIVE,KIT 6,5393,67.9m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,7,6,8,N,N,6.1,N,Y,d7a3bc69-584c-4cbf-a292-71676bc7fc30,67.852910448331
77756,82566,ACTIVE,KIT 6,5393,7m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,4.58,N,Y,3920813b-acd5-4770-891d-f908fced2f4e,7.03932838683089
77757,82568,ACTIVE,KIT 6,5394,15m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,fafe0294-eaab-4ddf-aafc-b0da7cad1962,14.956130761421
77758,10090,ACTIVE,KIT 6,5402,38.5m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,4dcdfd32-fe5e-4711-91c2-1cd70ebd61e3,38.5268909037991
77759,82570,ACTIVE,KIT 6,5456,12.5m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,6,6,7,N,N,8.5,N,N,ffe2c8b5-859a-45ef-b973-2b9bcb8d02be,12.4519639246543
77760,10030,ACTIVE,KIT 6,21108,125m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,7,6,7,N,N,8.5,N,N,0736e36c-f5f8-44a1-ad46-462112071b16,124.970064901045
77761,10100,ACTIVE,KIT 6,5396,55.7m 450mm  DI,TREATED,450,DI,NO,,NONE,283996800000.0,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,81b98062-c516-4904-9cad-82530bb89237,55.671581169996
77762,81620,ACTIVE,KIT 2W,102861,63.9m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1420502400000.0,PURCHASED,MTE CONSULTANTS INC.,KITCHENER,N,,0,5,46,N,N,9.35,N,N,d62ae36d-5bca-4278-8be9-37b09c7ea388,63.9485848398879
77764,60080,ACTIVE,KIT 4,12102,98.1m 300mm  PVC,TREATED,300,PVC,NO,,NONE,873072000000.0,DONATED,,KITCHENER,N,,7,4,18,N,N,9.35,N,N,49e6d1f5-af10-4902-9148-13ede12f6ef0,98.0832805701851
77765,61904,ACTIVE,KIT 2W,22070,141.5m 300mm  DI,TREATED,300,DI,NO,,NONE,226022400000.0,PURCHASED,,KITCHENER,N,,7,5,33,N,N,8.5,N,N,62f81af0-df7d-458a-9dd8-fd72552d2524,141.533052012408
77766,25690,ACTIVE,KIT 4,10351,42.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,215654400000.0,DONATED,,KITCHENER,N,,6,4,15,N,N,9.35,N,N,6dd024e7-36a6-4d2d-b55c-4c3d9e7fd7ba,42.7365942209405
77767,82572,ACTIVE,KIT 4,10351,12.2m 150mm  PVC,TREATED,150,PVC,NO,,NONE,215654400000.0,DONATED,,KITCHENER,N,,6,4,15,N,N,9.35,N,N,47c61ea2-1ba4-4b0a-9fac-afa33e4a5a6c,12.1917414998642
77768,74030,ACTIVE,KIT 6,600867,69.6m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1149120000000.0,DONATED,,KITCHENER,N,,6,6,39,N,N,9.35,N,Y,f0909acb-861d-40e4-a8f9-efca170c62a2,69.5697443098412
77769,82574,ACTIVE,KIT 6,600867,8.4m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1149120000000.0,DONATED,,KITCHENER,N,,6,6,39,N,N,9.35,N,Y,1f148434-1709-47db-b20e-d3bfbf2cda37,8.44509625213796
77770,82576,ACTIVE,KIT 5,601282,8.8m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1136073600000.0,DONATED,,KITCHENER,N,,6,6,25,N,N,9.35,N,Y,7085b934-b930-4b2b-b504-966c71fc207b,8.7890176020329
77771,82578,ACTIVE,KIT 5,601282,8.3m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1136073600000.0,DONATED,,KITCHENER,N,,6,6,24,N,N,9.35,N,Y,c51c6148-e438-4ade-b834-c2947151be55,8.32157024593635
77772,70850,ACTIVE,KIT 5,601282,176.7m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1136073600000.0,DONATED,,KITCHENER,N,,7,6,25,N,N,9.35,N,Y,510900fa-bdaf-440c-a13a-a2be895bb166,176.655377255589
77773,82580,ACTIVE,KIT 4,6626,1.1m 300mm  PVC,TREATED,300,PVC,NO,,NONE,991353600000.0,PURCHASED,,KITCHENER,N,,7,2,3,N,N,9.35,N,N,ee18d9e6-826b-4289-b4b4-75a54b749602,1.12320285347848
77776,82584,ACTIVE,KIT 2W,600356,21.3m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1054425600000.0,PURCHASED,,KITCHENER,N,,7,5,35,N,N,9.35,N,N,d612b395-45c9-4f6d-afcf-7cb60563af7a,21.3395426072407
77777,69550,ACTIVE,KIT 2W,600356,196.9m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1054425600000.0,PURCHASED,,KITCHENER,N,,6,5,35,N,N,9.35,N,N,a7e72f74-80fb-4bf4-9164-6a960e6b0684,196.859012719462
77778,82586,ACTIVE,KIT 4,9387,3.7m 150mm  DI,TREATED,150,DI,NO,,NONE,788918400000.0,DONATED,,KITCHENER,N,,7,5,5,N,N,9.1,N,N,acb0fdb6-ba7d-4b04-946d-53960aaf8e86,3.7371340158361
77779,76806,ACTIVE,KIT 4,9387,5m 150mm  DI,TREATED,150,DI,NO,,NONE,788918400000.0,DONATED,,KITCHENER,N,,6,1,12,N,N,9.1,N,N,12c3aa49-d2e3-4796-ad6c-97c1a84fbad2,4.99295177500279
77780,59320,ACTIVE,KIT 4,1730,92.7m 300mm  DI,TREATED,300,DI,NO,,NONE,833587200000.0,PURCHASED,,KITCHENER,N,,7,2,25,N,N,9.1,N,N,625e8c8f-a663-4a58-9a13-b2939d4bd544,92.696164797707
77781,82588,ACTIVE,KIT 4,15908,7.6m 200mm  DI,TREATED,200,DI,NO,,NONE,-126230400000.0,DONATED,,KITCHENER,N,,6,4,14,N,N,8.5,N,N,20202fc8-3f9e-45e1-9a6f-d9a6c98f00d6,7.6197389350217
77782,5610,ACTIVE,KIT 4,15908,91.2m 200mm  DI,TREATED,200,DI,NO,,NONE,-126230400000.0,DONATED,,KITCHENER,N,,6,4,14,N,N,4.7,N,N,9281310a-32cf-412a-9321-eff3e9d61f69,91.2020221142905
77783,82590,ACTIVE,KIT 2EA,40224,18m 250mm  PVC,TREATED,250,PVC,NO,,NONE,896659200000.0,DONATED,,KITCHENER,N,,5,5,27,N,N,9.35,N,N,ef8db04b-efdc-4006-aa91-248316e218a2,17.9611672229995
77784,61120,ACTIVE,KIT 2EA,40224,258.4m 250mm  PVC,TREATED,250,PVC,NO,,NONE,896659200000.0,DONATED,,KITCHENER,N,,6,5,28,N,N,9.35,N,N,fa1f0795-46a8-4a11-acb0-c244928a2e5f,258.439482892856
77785,25470,ACTIVE,KIT 4,10370,156m 150mm  DI,TREATED,150,DI,NO,,NONE,347155200000.0,PURCHASED,,KITCHENER,N,,5,4,15,N,N,8.5,N,N,b0bb1dbb-ea20-464e-900b-b23239952c1b,156.021688028756
77786,82592,ACTIVE,KIT 2W,21951,8.5m 150mm  DI,TREATED,150,DI,NO,,NONE,315532800000.0,DONATED,,KITCHENER,N,,6,5,0,N,N,8.5,N,N,cc20df1b-a9f0-4ce3-a7cc-c733e4cef9ad,8.53445434017783
77787,82594,ACTIVE,KIT 2W,21951,.8m 150mm  DI,TREATED,150,DI,NO,,NONE,315532800000.0,DONATED,,KITCHENER,N,,0,5,32,N,N,8.5,N,N,fa57b15f-478c-4306-8a5b-2254296a1b47,0.752106907436349
77788,18170,ACTIVE,KIT 2W,21951,150.4m 150mm  DI,TREATED,150,DI,NO,,NONE,315532800000.0,DONATED,,KITCHENER,N,,6,5,32,N,N,8.5,N,N,359685e2-e0b7-4ec0-a71e-984385af6fe0,150.420304491366
77789,82596,ACTIVE,KIT 5,9722,16.8m 300mm  DI,TREATED,300,DI,NO,,NONE,631152000000.0,PURCHASED,,KITCHENER,N,,7,3,0,N,N,9.1,N,N,281b95c7-eefc-4278-9e97-d8e76c3dd34b,16.7633207929942
77790,82598,ACTIVE,KIT 4,9722,14.3m 300mm  DI,TREATED,300,DI,NO,,NONE,631152000000.0,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,N,bfcce273-180b-4b97-bfa6-0fda32097104,14.3355531084652
77791,55120,ACTIVE,KIT 4,9722,101.7m 300mm  DI,TREATED,300,DI,NO,,NONE,631152000000.0,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,N,f1ec1dfd-5432-4735-8638-c36d22842218,101.748376333877
77792,82600,ACTIVE,KIT 4,9722,13.2m 300mm  DI,TREATED,300,DI,NO,,NONE,631152000000.0,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,N,d5085e3e-11ec-4490-85d8-17258b5cc129,13.212334493422
